,ip,country,region,city,lat,long,count
2516,192.96.204.42,US,Virginia,Manassas,38.7509488,-77.4752667,2
2517,202.46.55.57,CN,Guangdong,Shenzhen (Luohu Qu),22.53448735,114.11211071792144,1
2518,2.139.225.57,ES,Catalonia,Barcelona,41.3828939,2.1774322,38
2519,95.60.80.47,ES,Madrid,Madrid,40.4167047,-3.7035825,161
2520,90.8.182.206,FR,Provence-Alpes-CÃ´te d'Azur,Nice,43.7009358,7.2683912,2
2521,81.45.55.3,ES,Madrid,Madrid,40.4167047,-3.7035825,38
2522,101.226.167.226,CN,Shanghai,Shanghai,31.2322758,121.4692071,1
2523,81.45.52.195,ES,Madrid,Madrid,40.4167047,-3.7035825,44
2524,93.23.197.120,FR,Occitanie,Rodilhan,43.8257589,4.434929,2
2525,148.251.69.136,DE,Saxony,Falkenstein,50.5353917,12.6643842,1
2526,217.125.21.135,ES,Madrid,Madrid,40.4167047,-3.7035825,165
2527,2.136.222.9,ES,Madrid,Madrid,40.4167047,-3.7035825,1
2528,187.105.70.21,BR,Bahia,Salvador,-12.837423,-38.3719012,81
2529,179.235.36.229,BR,SÃ£o Paulo,SÃ£o Paulo,-23.5506507,-46.6333824,82
2530,54.245.33.250,US,Oregon,Portland,45.5202471,-122.6741949,1
2531,200.24.215.217,EC,Pichincha,Quito,-0.2201641,-78.5123274,43
2532,82.238.2.135,FR,Hauts-de-France,Bully-les-Mines,50.4464,2.71989,2
2533,31.221.155.151,ES,Madrid,Alcobendas,40.5400082,-3.6358494,1
2534,85.51.154.164,ES,Madrid,Pozuelo de AlarcÃ³n,40.4346528,-3.814834,63
2535,93.186.202.244,DE,North Rhine-Westphalia,DÃ¼sseldorf (Stadtbezirk 06),51.2082165,6.7636478,1
2536,88.22.104.55,ES,Madrid,Madrid,40.4167047,-3.7035825,82
2537,88.5.41.112,ES,Madrid,Madrid,40.4167047,-3.7035825,140
2538,65.55.52.118,CA,Ontario,Toronto,43.6534817,-79.3839347,107
2539,202.46.62.97,CN,Guangdong,Shenzhen (Luohu Qu),22.53448735,114.11211071792144,1
2540,93.0.137.129,FR,ÃŽle-de-France,Paris,48.8588897,2.3200410217200766,2
2541,66.249.76.215,US,California,Mountain View,37.3893889,-122.0832101,1
2542,78.240.90.149,FR,Occitanie,Aureilhan,43.2426749,0.0965226,2
2543,65.55.52.108,CA,Ontario,Toronto,43.6534817,-79.3839347,115
2544,157.56.92.158,CA,Ontario,Toronto,43.6534817,-79.3839347,114
2545,142.54.184.10,US,Missouri,Kansas City,39.100105,-94.5781416,3
2546,82.212.144.59,BE,Brussels Capital,Brussels,50.8465573,4.351697,2
2547,157.55.34.97,CA,Ontario,Toronto,43.6534817,-79.3839347,2
2548,2.139.23.118,ES,Madrid,Madrid,40.4167047,-3.7035825,88
